,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
320,Murasaki Shikibu,Female,"Murasaki Shikibu (紫 式部, English: Lady Murasaki; c. 973 or 978 – c. 1014 or 1031) was a Japanese novelist, poet and lady-in-waiting at the Imperial court during the Heian period. She is best known as the author of The Tale of Genji, widely considered to be the world's first novel, written in Japanese between about 1000 and 1012.[1] Murasaki Shikibu is a descriptive name; her personal name is unknown, but she may have been Fujiwara no Kaoruko (藤原 香子), who was mentioned in a 1007 court diary as an imperial lady-in-waiting.",Success,None,None
321,Philitas of Cos,Male,"Philitas of Cos (/fɪˈlaɪtəs/; Greek: Φιλίτας ὁ Κῷος, Philītas ho Kōos; c. 340 – c. 285 BC), sometimes spelled Philetas (/faɪˈliːtəs/; Φιλήτας, Philētas; see Bibliography below), was a scholar and poet during the early Hellenistic period of ancient Greece.[4] A Greek associated with Alexandria, he flourished in the second half of the 4th century BC and was appointed tutor to the heir to the throne of Ptolemaic Egypt. He was thin and frail; Athenaeus later caricatured him as an academic so consumed by his studies that he wasted away and died.[5][6]",Success,None,None
322,Harold Pinter,Male,"Harold Pinter CH CBE (/ˈpɪntər/; 10 October 1930 – 24 December 2008) was a British playwright, screenwriter, director and actor. A Nobel Prize winner, Pinter was one of the most influential modern British dramatists with a writing career that spanned more than 50 years. His best-known plays include The Birthday Party (1957), The Homecoming (1964), and Betrayal (1978), each of which he adapted for the screen. His screenplay adaptations of others' works include The Servant (1963), The Go-Between (1971), The French Lieutenant's Woman (1981), The Trial (1993), and Sleuth (2007). He also directed or acted in radio, stage, television, and film productions of his own and others' works.",Success,1930,None
323,Edgar Allan Poe,Male,"This article is about the American writer. For a relative, see Edgar Allan Poe (Maryland attorney general). For other things called Edgar Allan Poe, see Edgar Allan Poe (disambiguation).",Success,1809,None
324,Virginia Eliza Clemm Poe,Female,"Virginia Eliza Clemm Poe (née Clemm; August 15, 1822 – January 30, 1847) was the wife of American writer Edgar Allan Poe. The couple were first cousins and publicly married when Virginia Clemm was 13 and Poe was 27. Biographers disagree as to the nature of the couple's relationship. Though their marriage was loving, some biographers suggest they viewed one another more like a brother and sister. In January 1842, she contracted tuberculosis, growing worse for five years until she died of the disease at the age of 24 in the family's cottage, at that time outside New York City.",Failure,1822,1847
325,Ezra Pound,Male,"Ezra Weston Loomis Pound (30 October 1885 – 1 November 1972) was an expatriate American poet and critic, a major figure in the early modernist poetry movement, and a fascist sympathizer.[1] His contribution to poetry began with his development of Imagism, a movement derived from classical Chinese and Japanese poetry, stressing clarity, precision, concision, and economy of language. His works include Ripostes (1912), Hugh Selwyn Mauberley (1920) and the unfinished 120-section epic, The Cantos (1917–1969).",Unknown,None,None
326,Adelaide Anne Procter,Female,"Adelaide Anne Procter (30 October 1825 – 2 February 1864) was an English poet and philanthropist. She worked prominently on behalf of unemployed women and the homeless, and was actively involved with feminist groups and journals. Procter never married. She became unhealthy, possibly due to her charity work, and died of tuberculosis at the age of 38.",Success,None,None
327,Jean-Joseph Rabearivelo,Male,"Jean-Joseph Rabearivelo (4 March 1901 or 1903 – 22 June 1937), born Joseph-Casimir Rabearivelo, is widely considered to be Africa's first modern poet and the greatest literary artist of Madagascar. Part of the first generation raised under French colonization, Rabearivelo grew up impoverished and failed to complete secondary education. His passion for French literature and traditional Malagasy poetry prompted him to read extensively and educate himself on a variety of subjects, including the French language and its poetic and prose traditions. He published his first poems as an adolescent in local literary reviews, soon obtaining employment at a publishing house where he worked as a proofreader and editor of its literary journals. He published numerous poetry anthologies in French and Malagasy, as well as literary critiques, an opera, and two novels.",Success,1901,None
328,Ion Heliade Rădulescu,Male,"Ion Heliade Rădulescu or Ion Heliade (also known as Eliade or Eliade Rădulescu; Romanian pronunciation: [ˈi.on heliˈade rəduˈlesku]; January 6, 1802 – April 27, 1872) was a Wallachian, later Romanian academic, Romantic and Classicist poet, essayist, memoirist, short story writer, newspaper editor and politician. A prolific translator of foreign literature into Romanian, he was also the author of books on linguistics and history. For much of his life, Heliade Rădulescu was a teacher at Saint Sava College in Bucharest, which he helped reopen. He was a founding member and first president of the Romanian Academy.",Success,1802,1872
329,Talbot Baines Reed,Male,"Talbot Baines Reed (3 April 1852 – 28 November 1893) was an English writer of boys' fiction who established a genre of school stories that endured into the mid-20th century. Among his best-known work is The Fifth Form at St. Dominic's. He was a regular and prolific contributor to The Boy's Own Paper (B.O.P.), in which most of his fiction first appeared. Through his family's business, Reed became a prominent typefounder, and wrote a standard work on the subject: History of the Old English Letter Foundries.",Success,None,None
330,Ralph Richardson,Male,"Sir Ralph David Richardson (19 December 1902 – 10 October 1983) was an English actor who, along with his contemporaries Peggy Ashcroft, John Gielgud, and Laurence Olivier, dominated the British stage of the mid-20th century. He worked in films throughout most of his career, and played more than sixty cinema roles. From an artistic but not theatrical background, Richardson had no thought of a stage career until a production of Hamlet in Brighton inspired him to become an actor. He learned his craft in the 1920s with a touring company and later the Birmingham Repertory Theatre. In 1931 he joined the Old Vic, playing mostly Shakespearean roles. He led the company the following season, succeeding Gielgud, who had taught him much about stage technique. After he left the company, a series of leading roles took him to stardom in the West End and on Broadway.",Success,None,None
331,J. K. Rowling,Female,"Joanne Rowling CH, OBE, HonFRSE, FRCPE, FRSL (/ˈroʊlɪŋ/ ""rolling"";[1] born 31 July 1965), better known by her pen name J. K. Rowling, is a British author, film producer, television producer, screenwriter, and philanthropist. She is best known for writing the Harry Potter fantasy series, which has won multiple awards and sold more than 500 million copies,[2][3] becoming the best-selling book series in history.[4] The books are the basis of a popular film series, over which Rowling had overall approval on the scripts[5] and was a producer on the final films.[6] She also writes crime fiction under the name Robert Galbraith.",Success,1965,None
